ID,Core Relations
0,none
1,none
2,movie.starring.actor
3,none
4,none
5,movie.starring.actor
6,movie.starring.actor
7,movie.starring.actor
8,movie.starring.actor
9,none
10,none
11,none
12,movie.starring.actor
13,movie.starring.actor
14,movie.starring.actor
15,movie.starring.actor
16,movie.starring.actor
17,movie.starring.actor
18,none
19,none
20,movie.starring.actor
21,none
22,movie.starring.actor
23,movie.starring.actor
24,movie.starring.actor
25,none
26,none
27,movie.starring.actor
28,movie.starring.actor
29,movie.starring.actor
30,movie.starring.actor
31,movie.starring.actor
32,movie.starring.actor
33,none
34,movie.starring.actor
35,none
36,none
37,none
38,none
39,movie.estimated_budget
40,movie.estimated_budget
41,none
42,none
43,none
44,movie.estimated_budget
45,none
46,movie.estimated_budget
47,movie.estimated_budget
48,none
49,movie.estimated_budget
50,movie.estimated_budget
51,movie.estimated_budget
52,movie.estimated_budget
53,movie.estimated_budget
54,none
55,none
56,movie.starring.actor
57,none
58,movie.rating
59,movie.country
60,movie.starring.actor
61,movie.directed_by
62,movie.directed_by
63,movie.production_companies
64,movie.country
65,movie.country
66,movie.country
67,movie.country
68,movie.country
69,none
70,none
71,none
72,movie.initial_release_date
73,movie.initial_release_date
74,none
75,movie.initial_release_date
76,movie.initial_release_date
77,movie.initial_release_date
78,none
79,movie.initial_release_date
80,movie.initial_release_date
81,movie.initial_release_date
82,movie.initial_release_date
83,movie.initial_release_date
84,movie.initial_release_date
85,movie.initial_release_date
86,movie.initial_release_date
87,movie.initial_release_date
88,none
89,movie.initial_release_date
90,movie.initial_release_date
91,movie.initial_release_date
92,movie.initial_release_date
93,movie.initial_release_date
94,movie.initial_release_date
95,movie.initial_release_date
96,movie.initial_release_date
97,movie.initial_release_date
98,movie.initial_release_date
99,movie.initial_release_date
100,movie.initial_release_date
101,movie.initial_release_date
102,movie.initial_release_date
103,movie.initial_release_date
104,movie.initial_release_date
105,none
106,movie.initial_release_date
107,movie.initial_release_date
108,movie.initial_release_date
109,none
110,movie.initial_release_date
111,none
112,movie.initial_release_date
113,movie.directed_by
114,movie.directed_by
115,movie.directed_by
116,movie.directed_by
117,movie.directed_by
118,movie.directed_by
119,movie.directed_by
120,movie.directed_by
121,movie.directed_by
122,none
123,none
124,movie.directed_by
125,none
126,none
127,none
128,movie.directed_by
129,movie.directed_by
130,movie.directed_by
131,movie.directed_by
132,movie.directed_by
133,movie.directed_by
134,movie.directed_by
135,movie.directed_by
136,movie.directed_by
137,none
138,movie.directed_by
139,movie.directed_by
140,none
141,movie.directed_by
142,movie.directed_by
143,movie.directed_by
144,movie.directed_by
145,movie.directed_by
146,none
147,none
148,movie.directed_by
149,none
150,movie.directed_by
151,none
152,movie.directed_by
153,movie.directed_by
154,movie.directed_by
155,movie.directed_by
156,movie.directed_by
157,movie.directed_by
158,movie.genre
159,movie.genre
160,movie.genre
161,movie.genre
162,none
163,movie.genre
164,movie.genre
165,movie.initial_release_date
166,movie.genre
167,movie.genre
168,none
169,none
170,none
171,none
172,movie.genre
173,none
174,movie.genre
175,movie.genre
176,movie.genre
177,movie.language
178,movie.language
179,movie.language
180,movie.language
181,movie.language
182,movie.language
183,movie.language
184,none
185,movie.language
186,movie.country movie.language
187,movie.country movie.language
188,movie.produced_by
189,movie.produced_by
190,none
191,none
192,movie.rating
193,movie.rating
194,movie.initial_release_date
195,none
196,movie.starring.actor
197,none
198,none
199,movie.starring.actor
200,movie.starring.actor
201,movie.starring.actor
202,movie.language
203,movie.starring.actor
204,none
205,none
206,none
207,none
208,none
209,none
210,none
211,none
212,none
213,none
214,none
215,none
216,none
217,none
218,movie.starring.actor
219,movie.directed_by
220,movie.produced_by
221,movie.starring.actor
222,movie.starring.actor
223,movie.starring.actor
224,movie.directed_by
225,movie.directed_by
226,movie.initial_release_date
227,none
228,movie.directed_by
229,movie.rating
230,none
231,movie.language
232,none
233,none
234,movie.language
235,movie.language
236,movie.genre
237,movie.genre
238,movie.genre
239,movie.genre
240,movie.genre
241,none
242,movie.starring.actor
243,movie.starring.actor
244,none
245,movie.country
246,movie.country
247,movie.country
248,none
249,movie.language
250,movie.language
251,movie.country
252,movie.country
253,movie.country
254,movie.language
255,movie.language
256,movie.language
257,none
258,none
259,movie.genre
260,movie.language
261,none
262,movie.directed_by
263,movie.country
264,movie.country
265,none
266,movie.directed_by
267,movie.language
268,movie.country
269,none
270,movie.rating
271,movie.language
272,none
273,none
274,none
275,movie.starring.actor
276,movie.starring.actor
277,movie.starring.actor
278,none
279,none
280,none
281,none
282,none
283,none
284,none
285,movie.country
286,movie.country
287,movie.language
288,movie.language
289,movie.language
290,movie.language
291,movie.language
292,movie.language
293,movie.language
294,movie.production_companies
295,movie.production_companies
296,movie.starring.actor
297,movie.starring.actor
298,none
299,none
300,none
301,none
302,movie.produced_by
303,movie.production_companies
304,movie.production_companies
305,movie.initial_release_date
306,none
307,movie.produced_by
308,movie.genre
309,none
310,none
311,none
312,none
313,none
314,movie.language
315,movie.language
316,movie.language
317,movie.rating
318,movie.rating
319,movie.rating
320,movie.rating
321,none
322,none
323,movie.rating
324,movie.rating
325,movie.rating
326,movie.rating
